Loose,Medium,Tight,pt1,pt2
0.919218241,0.7550488599,0.5648208469,4,7.3
0.8918566775,0.7876221498,0.6325732899,7.3,10
0.8671009772,0.7993485342,0.6716612378,10,15
0.851465798,0.7758957655,0.6716612378,15,20
0.8592833876,0.7889250814,0.6794788274,20,25
0.8801302932,0.8241042345,0.7120521173,25,30
0.9035830619,0.8488599349,0.7459283388,30,35
0.919218241,0.8684039088,0.7667752443,35,40
0.9296416938,0.8801302932,0.7798045603,40,45
0.9348534202,0.8866449511,0.7928338762,45,50
0.938762215,0.8983713355,0.816286645,50,60
0.9439739414,0.9179153094,0.8553745928,60,80
0.9465798046,0.9309446254,0.8853420195,80,250
