x,y
-2.5,0.9867052023
-2.278714436,0.9867052023
-2.278714436,0.9867052023
-2.046891465,0.9867052023
-2.046891465,0.9843930636
-1.820337197,0.9843930636
-1.820337197,0.9895953757
-1.588514226,0.9895953757
-1.588514226,0.9913294798
-1.367228662,0.9913294798
-1.367228662,0.9803468208
-1.13540569,0.9803468208
-1.13540569,0.9786127168
-0.9088514226,0.9786127168
-0.9088514226,0.9867052023
-0.6822971549,0.9867052023
-0.6822971549,0.9895953757
-0.4557428872,0.9895953757
-0.4557428872,0.9867052023
-0.2291886196,0.9867052023
-0.2291886196,0.8421965318
0.002634351949,0.8421965318
0.002634351949,0.8520231214
0.2291886196,0.8520231214
0.2291886196,0.9861271676
0.4557428872,0.9861271676
0.4557428872,0.9901734104
0.6822971549,0.9901734104
0.6822971549,0.9895953757
0.9088514226,0.9895953757
0.9088514226,0.9797687861
1.140674394,0.9797687861
1.140674394,0.9803468208
1.361959958,0.9803468208
1.361959958,0.9919075145
1.593782929,0.9919075145
1.593782929,0.9901734104
1.820337197,0.9901734104
1.820337197,0.9843930636
2.046891465,0.9843930636
2.046891465,0.9878612717
2.273445732,0.9878612717
2.273445732,0.9884393064
2.5,0.9884393064
