85_eff,77_eff,70_eff,60_eff,pt
0.8174846626,0.7070552147,0.6012269939,0.4202453988,20
0.8174846626,0.7070552147,0.5996932515,0.4202453988,25
0.8573619632,0.7745398773,0.6917177914,0.5552147239,30
0.8588957055,0.7745398773,0.6917177914,0.5552147239,35
0.8834355828,0.8113496933,0.7438650307,0.6288343558,40
0.8834355828,0.8128834356,0.7438650307,0.6303680982,50
0.8941717791,0.8312883436,0.7668711656,0.6702453988,60
0.8957055215,0.8312883436,0.7668711656,0.6702453988,70
0.9018404908,0.8389570552,0.7806748466,0.6855828221,85
0.9018404908,0.8404907975,0.7806748466,0.6855828221,95
0.9049079755,0.8435582822,0.7883435583,0.6932515337,110
0.9049079755,0.8435582822,0.7883435583,0.6932515337,125
0.9064417178,0.8450920245,0.7883435583,0.6886503067,140
0.9049079755,0.8450920245,0.786809816,0.6886503067,155
0.9033742331,0.8374233129,0.7760736196,0.6717791411,175
0.9033742331,0.8374233129,0.777607362,0.6733128834,190
0.9003067485,0.8358895706,0.7714723926,0.6595092025,210
0.9003067485,0.8343558282,0.7714723926,0.6564417178,230
0.8987730061,0.8358895706,0.773006135,0.6564417178,250
