x,y
3.015345269,0.8712374582
3.498721228,0.8712374582
3.498721228,0.9314381271
4,0.9314381271
4,0.9732441472
5.002557545,0.9732441472
5.002557545,0.9882943144
6.00511509,0.9882943144
6.00511509,0.991638796
7.007672634,0.991638796
7.007672634,0.9882943144
8.010230179,0.9882943144
8.010230179,0.9882943144
8.99488491,0.9882943144
8.99488491,0.9882943144
10.01534527,0.9882943144
10.01534527,0.9882943144
12.00255754,0.9882943144
12.00255754,0.9882943144
14.00767263,0.9882943144
14.00767263,0.9882943144
16.01278772,0.9882943144
16.01278772,0.9882943144
18,0.9882943144
18,0.9899665552
20.00511509,0.9899665552
